listing_key,ticker,exchange,review_kind,classification,decision_candidate,safe_action,confidence,evidence_needed,rationale,do_not_apply_reason
TSX::NVS,NVS,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Confirmation that the Novartis CDR (CAD Hedged) and Novartis AG American Depositary Receipt are one and the same listing.,"Names differ (CDR vs ADR), resulting in low similarity (0.542); official linkage needed.",Missing official evidence to equate CDR and ADR.
NEO::ZMIC,ZMIC,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,"Documentation that the Micron Technology (MU) BMO CDR (CAD Hedged) is equivalent to Micron Technology, Inc. Depositary Receipt.",Both reference Micron Technology but with varying DR descriptors; low similarity (0.56) despite likely same underlying. Requires verification.,Missing official evidence linking the two DR instruments.
TSXV::WKG,WKG,TSXV,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Official record of any name change or relationship between WestKam Gold Corp. and Big Bear Gold Corp.,Completely different company names (score 0.56). Could be a rename or entirely separate stock; impossible to decide without evidence.,Missing evidence of corporate action linking the names.
TSX::DPM,DPM,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Evidence showing whether 'Dundee Precious Metals Inc' changed its name to 'DPM Metals Inc.' or if they are different entities.,Names share 'DPM' and 'Metals' but differ significantly (score 0.562). A rename is plausible but unconfirmed.,Missing official name change documentation.
NEO::MTSU,MTSU,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Confirmation that the Mitsubishi Corp CDR (CAD Hedged) and Mitsubishi Corporation Deposit Receipt are the same instrument.,"Similar underlying, but low similarity (0.571) due to description length; requires verification.",Missing official evidence to link the CDR and deposit receipt.
NEO::VWA,VWA,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Official linkage between Volkswagen CDR (CAD Hedged) and Volkswagen AG Deposit Receipt.,Both reference Volkswagen AG but different descriptions yield low similarity (0.571). Cannot assume same security.,Missing official evidence confirming instrument equivalence.
NEO::NVON,NVON,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Evidence that the Novo Nordisk A/S CDR (CAD Hedged) and Novo Nordisk A/S Depositary Receipt are the same listed security.,"Nearly identical underlying entity, but 0.576 similarity due to minor wording differences; requires confirmation.",Missing official evidence to confirm same instrument.
TSXV::PGP,PGP,TSXV,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Official corporate records showing whether Cobalt Power Group Inc was renamed to Power Group Projects Corp.,Names are different (score 0.579). Could be a rename but no evidence provided.,Missing official name change documentation.
NEO::ZMAS,ZMAS,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Confirmation that the Mastercard BMO CDR (CAD Hedged) is identical to the Mastercard Canadian Depositary Receipt (CAD Hedged).,"Despite high apparent similarity, the score is only 0.583, likely due to BMO descriptor. Official verification needed.",Missing official evidence to equate the two CDR descriptions.
TSX::VISA,VISA,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Documentation that the Visa CDR (CAD Hedged) and Visa Inc. - CDR are the same security.,Names are very close (score 0.593) but minor differences exist; official confirmation is warranted before applying.,Missing official evidence to confirm identical instrument.
