listing_key,ticker,exchange,asset_type,name,field,target_field,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_exposes_isin,official_masterfile_exposes_sector,asx_isin_probe_decision,asx_isin_probe_isin,asx_isin_probe_security_type,asx_resolution_queue,residual_decision,review_bucket,review_priority,review_strategy,apply_eligibility,verification_evidence_required,recommended_next_action
ASX::AO3,AO3,ASX,ETF,APOLLO SERIES 2018-1 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::BA2,BA2,ASX,ETF,SERIES 2019-1 REDS TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::BS1,BS1,ASX,ETF,BLUESTONE PRIME 2024-1 TRUST,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::BW6,BW6,ASX,ETF,BLACKWATTLE SERIES RMBS TRUST NO.6,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::D10,D10,ASX,ETF,DRIVER AUSTRALIA TEN TRUST,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::DA8,DA8,ASX,ETF,DRIVER AUSTRALIA EIGHT TRUST,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::DA9,DA9,ASX,ETF,DRIVER AUSTRALIA NINE TRUST,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::DMN,DMN,ASX,Stock,DOMINION INVESTMENT GROUP LIMITED,missing_isin_primary,isin,inactive_or_legacy_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::EBTC,EBTC,ASX,ETF,Global X 21Shares Bitcoin ETF,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"current official ASX, registry, or issuer source plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=none;asx_isin_probe_decision=name_mismatch,masterfile_match=false;masterfile_exposes_isin=false;masterfile_exposes_sector=false,false,,false,false,name_mismatch,AU0000198020,GLOBAL X 21SHARES BITCOIN ETF,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::FM1,FM1,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::FM2,FM2,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::FM3,FM3,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::FM5,FM5,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::HC1,HC1,ASX,ETF,HOUSEHOLD CAPITAL 2025-1 RMBS TRUST,missing_isin_primary,isin,fund_or_trust_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::IF1,IF1,ASX,Stock,"IBERDROLA FINANZAS, S.A.U.",missing_isin_primary,isin,inactive_or_legacy_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::KI1,KI1,ASX,ETF,KINGFISHER TRUST 2019-1,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::KIG,KIG,ASX,ETF,KINGFISHER TRUST 2016-1,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::LI8,LI8,ASX,ETF,LION SERIES 2020-1 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::LN1,LN1,ASX,ETF,LION SERIES 2022-1 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::LN2,LN2,ASX,ETF,LION SERIES 2023-1 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::LN3,LN3,ASX,ETF,LION SERIES 2024-1 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
