priority_rank,exchange,venue_name,country,current_status,tickers,missing_isin,missing_sector_or_category,unresolved_findings,official_source_count,reference_scopes,candidate_key,candidate_scope,provider,asset_types,expected_format,source_url,implementation_status,priority,review_needed,blocker,notes
11,BME,BME Spanish Exchanges,Spain,official_partial,169,0,11,93,3,listed_companies_subset,bme_security_prices_directory,source_expansion_candidate,BME,Stock|ETF,bme_security_prices_json,https://www.bolsasymercados.es/en/bme-exchange/securities/stock-prices,implemented,medium,false,"parser implemented via official BME ListedCompanies API with SIBE, Floor, Latibex, MTF, and ETF trading-system parameters; live refresh is currently host-blocked/403 from this environment, and partial caches are ignored","The official BME Market API exposes ISIN, issuer name, trading system, sector, and subsector for the full security-price universe. Detail calls provide the official ticker used by the reference parser; residual local ticker drift should be handled through reviewed normalization rather than silently trusting secondary symbols."
12,TASE,Tel Aviv Stock Exchange,Israel,official_partial,673,0,86,0,4,listed_companies_subset,tase_company_profiles,source_expansion_candidate,TASE,Stock|ETF,tase_etf_marketdata_json,https://market.tase.co.il/en/market_data/securities/data/all,implemented,medium,false,stock-sector taxonomy still not exposed by the reachable marketdata endpoint,"Existing official TASE ETF marketdata records expose Classification values; the parser now maps these to canonical etf_category buckets. Reachable stock security records still do not expose a usable sector taxonomy, so residual stock_sector gaps need a separate company-profile endpoint or reviewed secondary source."
13,JSE,Johannesburg Stock Exchange,South Africa,official_partial,213,30,5,76,3,listed_companies_subset,jse_listed_companies_directory,source_expansion_candidate,JSE,Stock|ETF,jse_instrument_search_html,https://www.jse.co.za/trade/equities-market/listed-companies,implemented,medium,false,"implemented by extending existing official JSE instrument profile parser to read Sector/Industry fields; reachable instrument pages still do not expose ISIN values, so residual ISIN gaps need a separate official registry or reviewed issuer filings",JSE instrument profile pages expose instrument code/name/type plus Sector and Industry. Parser now maps the official Industry value into canonical stock_sector; ISIN is not present in the reachable profile HTML.
14,WSE,Warsaw Stock Exchange,Poland,official_partial,348,0,35,0,3,listed_companies_subset,gpw_instrument_cards,source_expansion_candidate,GPW,Stock|ETF,wse_listed_companies_html,https://www.gpw.pl/spolki,implemented,medium,false,implemented by extending existing official GPW/NewConnect list parsers to read the sector label from result rows; residual gaps are mostly unclassified official labels or ETF category tail,The reachable GPW and NewConnect list pages expose granular sector labels in the official result HTML. Parser now maps conservative Polish sector labels to canonical stock_sector values without using a secondary source.
15,ZSE,Zagreb Stock Exchange,Croatia,official_partial,23,0,22,0,1,listed_companies_subset,zagreb_securities_directory,listed_companies_candidate,ZSE Croatia,Stock|ETF,html_or_api,https://zse.hr/en/shares/68,implemented,medium,false,implemented via official listed-securities table,"Parser extracts active equity rows with ticker, ISIN, issuer name, and listed status from the official ZSE shares page."
16,CPH,Nasdaq Copenhagen,Denmark,official_partial,131,0,19,0,3,listed_companies_subset,nasdaq_nordic_copenhagen_full_search,source_expansion_candidate,Nasdaq Nordic,Stock|ETF,nasdaq_nordic_screener_json,https://api.nasdaq.com/api/nordic/screener/shares,implemented,medium,false,"reconciled through existing official Nasdaq Nordic Copenhagen shares, share-search, ETF, and ETF-search feeds","The current official source layer already has Copenhagen screener and search feeds for shares plus ETF coverage. Remaining CPH gaps are field-level metadata or listing normalization work, not a missing source-discovery item."
17,BSE_HU,Budapest Stock Exchange,Hungary,official_partial,31,8,19,17,1,listed_companies_subset,bse_hu_listed_companies,listed_companies_candidate,Budapest Stock Exchange,Stock|ETF,embedded_json,https://www.bet.hu/oldalak/beta_piac#reszvenyek,implemented,medium,false,implemented via official embedded market-data feed; residual local shortcut tickers need explicit symbol alias review,Official BET market-data page exposes seccode and ISIN for Hungarian listed and BETA products. Parser only emits exact current local tickers; BSE_HU shortcuts like ADID/AUTOW/RICHT stay out until a reviewed official symbol mapping exists.
18,ICE_IS,Nasdaq Iceland,Iceland,official_partial,18,0,15,0,1,listed_companies_subset,nasdaq_iceland_shares,exchange_directory_candidate,Nasdaq Nordic,Stock,nasdaq_nordic_screener_json,https://api.nasdaq.com/api/nordic/screener/shares,implemented,medium,false,parser implemented; residual gaps need ticker-level review,Wired into the existing Nasdaq Nordic screener parser with official market=ICE.
19,VSE,Vienna Stock Exchange,Austria,official_partial,36,2,4,14,1,listed_companies_subset,vienna_listed_companies,listed_companies_candidate,Wiener Boerse,Stock|ETF,html_or_api,https://www.wienerborse.at/en/listing/shares/companies-list/,implemented,medium,false,implemented as ISIN join against current VSE listings,Official table contains ISIN and issuer but no ticker; parser conservatively emits only current VSE listings matched by ISIN.
20,BSE_BW,Botswana Stock Exchange,Botswana,official_partial,39,0,11,12,1,listed_companies_subset,bse_bw_listed_companies,listed_companies_candidate,BSE Botswana,Stock|ETF,dse_tz_listed_companies_html,https://www.bse.co.bw/companies/,implemented,medium,false,implemented via official companies page with conservative local listing-name matching,"Official companies page exposes BSE counter, sector and board but not our feed-style *-EQO symbols. Parser only emits rows when the official issuer name matches an existing BSE_BW listing, then uses the local listing ticker/ISIN and official sector label."
21,HEL,Nasdaq Helsinki,Finland,official_partial,188,0,48,3,3,listed_companies_subset,nasdaq_nordic_helsinki_full_search,source_expansion_candidate,Nasdaq Nordic,Stock|ETF,nasdaq_nordic_screener_json,https://api.nasdaq.com/api/nordic/screener/shares,implemented,medium,false,"reconciled through existing official Nasdaq Nordic Helsinki shares, share-search, and ETF feeds","The current official source layer already has Helsinki screener and search feeds for shares plus ETF coverage. Remaining HEL gaps are field-level metadata or listing normalization work, not a missing source-discovery item."
22,BVC,Colombia Stock Exchange,Colombia,official_partial,3,3,0,0,1,listed_companies_subset,bvc_colombia_issuers,listed_companies_candidate,BVC,Stock|ETF,bvc_rv_issuers_json,https://rest.bvc.com.co/market-information/rv/lvl-3/issuer?filters[marketDataRv][type]=Local,implemented,medium,false,implemented via official BVC local-equity issuer API using the site handshake token; rows only enter through reviewed current BVC listings,"Official BVC API exposes local-market issuer symbols, issuer names, country, and industry labels. This also provides evidence to move the legacy CSE_LK CELSIA/ENKA/EXITO rows into BVC."
23,Bursa,Bursa Malaysia,Malaysia,official_partial,936,0,2,0,2,listed_companies_subset,bursa_equities_prices_directory,source_expansion_candidate,Bursa Malaysia,Stock|ETF,html_or_api,https://www.bursamalaysia.com/market_information/equities_prices,implemented,medium,false,implemented via official Bursa year-end closing-price PDF captured through browser download; live equities-prices API still Cloudflare-blocked for repeatable direct refreshes,"Existing Bursa ISIN PDF fills identifiers and the official closing-price PDF adds board plus sector/category labels for the listed 2024 universe. Residual Bursa gaps are post-2024 new listings, so they need an official IPO/company-profile path rather than the year-end PDF."
24,BVL,Bolsa de Valores de Lima,Peru,official_partial,33,2,30,2,1,security_lookup_subset,bvl_issuers_directory,security_identifier_registry_candidate,CAVALI,Stock|ETF,paginated_html,https://cavali-corporativa.screativa.com/emisores,implemented,medium,false,implemented via official CAVALI issuer securities registry; BVL Angular issuer page still needs endpoint discovery for a pure exchange directory,"The CAVALI CSD issuer registry exposes ISIN, issuer name, BVL nemonico, security group and type across a paginated table. Parser gates to current BVL tickers and allowed equity/ETF-like groups to avoid bond and commercial-paper rows."
25,PSE_CZ,Prague Stock Exchange,Czech Republic,official_partial,24,1,14,2,1,listed_companies_subset,pse_cz_shares_directory,listed_companies_candidate,Prague Stock Exchange,Stock,html_or_api,https://www.pse.cz/en/market-data/shares/prime-market,implemented,medium,false,implemented via official market pages plus detail-page ticker extraction,"Do not confuse with Philippine PSE, which is already modeled as PSE. Parser fetches Prime/Standard/Free/Start market pages and detail pages to map ISINs to the PSE Xetra ticker used by the dataset."
26,BCBA,Bolsas y Mercados Argentinos,Argentina,official_partial,64,3,14,1,1,security_lookup_subset,byma_equity_details,security_lookup_subset,BYMA,Stock|ETF,byma_equity_details_json,https://open.bymadata.com.ar/vanoms-be-core/rest/api/bymadata/free/bnown/fichatecnica/especies/general,implemented,medium,false,implemented via official Open BYMADATA equity-detail endpoint; some legacy BCBA symbols remain unmatched without manual ticker normalization,"Official Open BYMADATA POST endpoint exposes symbol-keyed equity detail data, including codigoIsin, tipoEspecie, denomination, and issuer fields. The parser only emits rows for current BCBA listings and keeps non-exact/ticker-normalized matches name-gated."
27,ZSE_ZW,Zimbabwe Stock Exchange,Zimbabwe,official_partial,27,0,24,0,1,listed_companies_subset,zse_zw_listed_companies,listed_companies_candidate,ZSE Zimbabwe,Stock|ETF,zse_zw_issuers_json,https://www.zse.co.zw/listed-securities/equity,implemented,low,false,implemented via official ZSE front-end API and price-sheet API,Parser uses the official ZSE issuer API for exact short_name matches and the official price-sheet API as an ISIN fallback for current rows whose local ticker differs from ZSE short_name.
28,MSE_MW,Malawi Stock Exchange,Malawi,official_partial,8,0,8,0,1,listed_companies_subset,mse_mw_listed_companies,listed_companies_candidate,MSE Malawi,Stock,html,https://mse.co.mw/market/mainboard,implemented,low,false,implemented via official mainboard table and company links,The official MSE mainboard page exposes listed symbols and /company/{ISIN} links. Parser gates exact current MSE_MW symbols and uses valid ISINs from the official company links.
29,LUSE,Lusaka Securities Exchange,Zambia,official_partial,22,0,20,7,1,listed_companies_subset,luse_listed_companies,listed_companies_candidate,LuSE,Stock,luse_listed_companies_markdown,https://www.luse.co.zm/listed-companies/,implemented,low,false,implemented via official listed-company page captured through the reader fallback because direct requests hit a Cloudflare challenge,"The official Zambia listed-company source verifies symbol/name coverage for current exact LuSE tickers. The source intentionally does not infer ISIN or sector, and it keeps non-exact legacy ticker differences such as CECZ versus CEC as reference gaps."
30,USE_UG,Uganda Securities Exchange,Uganda,official_partial,7,0,7,0,1,listed_companies_subset,use_ug_listed_companies,listed_companies_candidate,USE Uganda,Stock,html,https://www.use.or.ug/market-statistics/market-snapshot,implemented,low,false,implemented via official market-snapshot table,Parser gates official USE market-snapshot stock codes to current USE_UG rows and uses explicit ticker-label overrides for AIRTEL UGANDA and UMEME.
31,DSE_TZ,Dar es Salaam Stock Exchange,Tanzania,official_partial,17,2,15,0,1,listed_companies_subset,dse_tz_listed_companies,listed_companies_candidate,DSE Tanzania,Stock,html,https://www.dse.co.tz/listed/company/list,implemented,low,false,implemented via official listed-company table; profile pages still need a richer ISIN/sector endpoint,Parser gates official DSE company codes to current DSE_TZ rows and emits a conservative listed-company subset using existing local identifiers where the page has no ISIN column; TCPLC is explicitly mapped to the local legacy TCCL row.
32,RSE,Rwanda Stock Exchange,Rwanda,official_partial,2,0,2,0,1,listed_companies_subset,rse_listed_companies,listed_companies_candidate,RSE,Stock,html,https://www.rse.rw/listed-compagnies,implemented,low,false,implemented via official listed-company cards; site certificate requires verify=false in this environment,Parser matches official RSE listed-company card names to current RSE rows by conservative company-name matching.
33,GSE,Ghana Stock Exchange,Ghana,official_partial,19,1,17,1,1,listed_companies_subset,gse_listed_companies,listed_companies_candidate,GSE,Stock,gse_listed_companies_markdown,https://gse.com.gh/listed-companies/,implemented,low,false,implemented via official listed-company page captured through the reader fallback because direct requests hit a Cloudflare challenge,"The official Ghana company list verifies symbol/name coverage for current exact GSE tickers. The source intentionally does not infer ISIN or sector, and it keeps non-exact legacy ticker differences such as AADS versus AGA as reference gaps."
34,NMFQS,Nasdaq Fund Network,United States,official_partial,7,0,1,0,1,security_lookup_subset,nasdaq_mutual_fund_quotes,security_identifier_registry_candidate,Nasdaq,ETF,nasdaq_mutual_fund_quote_json,https://api.nasdaq.com/api/screener/mutualfunds,implemented,low,false,implemented via official Nasdaq Fund Network quote API for current NMFQS symbols,"NMFQS rows are Nasdaq Fund Network mutual-fund symbols, not Namibia Stock Exchange listings. Parser queries the official Nasdaq quote API for each current local NMFQS symbol and preserves existing ISINs from the local listing rows because the quote endpoint verifies symbol/name/exchange but does not publish ISIN."
35,NYSEARCA,NYSE Arca duplicate bucket,United States,not_in_current_universe,0,0,0,0,0,,nyse_arca_alias_normalization,normalization_alias,Nasdaq Trader / SEC,ETF,existing_source_alias,https://www.nasdaqtrader.com/dynamic/symdir/otherlisted.txt,implemented,high,false,reconciled by normalizing NYSEARCA to NYSE ARCA,This is not a separate exchange source; the legacy venue alias is normalized to NYSE ARCA so the existing official NYSE ARCA source coverage applies.
36,OTC,OTC Markets,United States,official_full,11093,1293,2438,3027,3,exchange_directory|listed_companies_subset|security_lookup_subset,otc_markets_stock_screener,source_expansion_candidate,OTC Markets,Stock|ETF,otc_markets_stock_screener_csv,https://www.otcmarkets.com/research/stock-screener/api/downloadCSV?greyAccess=false&expertAccess=false,implemented,high,false,implemented via official OTC Markets stock-screener CSV export with Grey/Expert Market access disabled,"Largest partial source block. The screener validates OTC symbol/name/tier coverage for stock-like rows and ETFs, but it does not expose ISINs or GICS sectors. Grey and Expert Market access remain excluded intentionally so OTC stays an extended/listing-scope policy area rather than leaking into core primary completeness."
37,NSE_IN,National Stock Exchange of India,India,official_full,483,0,483,0,1,exchange_directory,nse_india_securities_available,global_expansion_candidate,NSE India,Stock|ETF,nse_india_securities_available_csv,https://www.nseindia.com/static/market-data/securities-available-for-trading,implemented,high,false,implemented via official NSE India securities-available CSVs; still outside the current primary exchange universe until listing-key-first/global expansion imports NSE_IN rows,"The official securities-available page links mainboard equity, SME equity, and ETF CSVs with symbol, company/security name, series, and ISIN. Parser keeps EQ mainboard stocks, SM/ST SME stocks excluding rights-entitlement suffixes, and ETF rows with conservative underlying-based ETF categories."
38,IDX,Indonesia Stock Exchange,Indonesia,official_full,694,115,0,0,2,exchange_directory|listed_companies_subset,idx_company_profiles,source_expansion_candidate,IDX,Stock|ETF,idx_company_profiles_json,https://www.idx.id/primary/ListedCompany/GetCompanyProfiles,implemented,high,false,implemented via official IDX ListedCompany/GetCompanyProfiles JSON API,Official IDX company profiles expose Sektor/SubSektor metadata for listed issuers. Parser maps IDX sector labels to canonical stock sectors and keeps this source separate from the lighter stock-list feed; no ISIN field is exposed.
39,HKEX,Hong Kong Exchanges and Clearing,Hong Kong,official_full,39,0,38,0,1,exchange_directory,hkex_securities_list,global_expansion_candidate,HKEX,Stock|ETF,hkex_securities_list_xlsx,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,implemented,high,false,implemented via official HKEX ListOfSecurities workbook; still outside the current primary exchange universe until listing-key-first/global expansion imports HKEX rows,"The official HKEX securities-list workbook exposes stock code, name, category/sub-category, ISIN, and trading currency. Parser keeps equities, REITs, and exchange-traded products, excluding warrants, derivatives, and debt securities."
40,LSE,London Stock Exchange,United Kingdom,official_full,6415,47,1309,37,4,exchange_directory|listed_companies_subset|security_lookup_subset,lse_trading_instruments_full_directory,source_expansion_candidate,LSE,Stock|ETF,lse_price_explorer_json,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,implemented,high,false,,"Implemented via the official Price Explorer pages API with categories=EQUITY,ETFS; bonds and other instruments are intentionally excluded from the Stock/ETF masterfile scope."
41,NGX,Nigerian Exchange,Nigeria,official_full,145,2,35,12,2,exchange_directory,ngx_company_profile_directory,exchange_directory_candidate,NGX,Stock,html,https://ngxgroup.com/exchange/data/company-profile/,implemented,high,false,implemented via official company-profile symbol directory plus detail fetch for prefix-renamed local tickers,Models NGX as official_full for active stock symbols and corrects truncated local symbols such as FIRSTHOLDC -> FIRSTHOLDCO and LIVINGTRUS -> LIVINGTRUST. DUNLOP and VANLEER remain absent from the active official profile directory.
42,NGX,Nigerian Exchange,Nigeria,official_full,145,2,35,12,2,exchange_directory,ngx_equities_price_list,source_expansion_candidate,NGX,Stock,json,https://doclib.ngxgroup.com/REST/api/statistics/equities/?market=&sector=&orderby=&pageSize=300&pageNo=0,implemented,high,false,"implemented as official daily price-list subset, not a full directory",Used for active NGX symbol/sector evidence after filtering against current NGX stock listings. It is intentionally modeled as listed_companies_subset because suspended/stale symbols can be absent from the daily price list.
43,KRX,Korea Exchange,South Korea,official_full,1796,2,527,9,2,exchange_directory,krx_data_portal_full_directory,source_expansion_candidate,KRX,Stock|ETF,krx_data_portal_json,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,implemented,high,false,implemented through existing official KRX listed-company and ETF-finder endpoints; residual ETF-category gaps require product-name taxonomy because the ETF finder exposes names and ISINs but no asset-class bucket,The KRX listed-company parser now uses official std_ind_cd/ind_nm fields from the Global KRX feed and maps them to canonical stock_sector values. The KRX ETF finder is modeled as an exchange-directory source for active ETF identifiers.
44,XETRA,Xetra,Germany,official_full,3752,3,947,8,3,exchange_directory|listed_companies_subset,deutsche_boerse_instrument_reference_full,source_expansion_candidate,Deutsche Boerse,Stock|ETF,deutsche_boerse_xetra_all_tradable_csv,https://www.xetra.com/xetra-en/instruments/instruments,implemented,high,false,implemented through the existing official t7-xetr-allTradableInstruments.csv feed; residual stock-sector gaps require a separate issuer-industry taxonomy because the tradable-instruments feed only exposes product assignment groups,"Parser now treats the official Xetra all-tradable CSV as an exchange-directory source for active XETR shares and ETPs. ETF/ETN/ETC rows are included, with conservative official product-group category mapping for fixed-income ETFs, ETNs, and ETCs."
45,BVB,Bucharest Stock Exchange,Romania,official_full,80,0,5,0,2,exchange_directory|listed_companies_subset,bvb_shares_directory,exchange_directory_candidate,BVB,Stock|ETF,html_or_api,https://m.bvb.ro/FinancialInstruments/Markets/Shares,implemented,high,false,implemented via official mobile BVB shares tabs and fund-units table,"The official mobile shares page exposes active BVB stock symbols, issuer names, ISINs, and market category across Regulated, AeRO, and SMT Intl tabs. The official FundUnits page adds BVB ETF rows."
46,BSE_IN,BSE India,India,official_full,5,0,5,0,1,exchange_directory,bse_india_scrips,global_expansion_candidate,BSE India,Stock|ETF,bse_india_scrips_json,https://www.bseindia.com/corporates/List_Scrips.html,implemented,high,false,implemented via official BSEIndiaAPI active equity scrip endpoint; still outside the current primary exchange universe until listing-key-first/global expansion imports BSE_IN rows and reconciles India primary-listing decisions with NSE_IN,"The official ListofScripData API exposes active BSE equity scrip_id, issuer/security name, status, segment, ISIN, and profile URL. Parser keeps active Equity rows with valid ISIN and uses conservative ETF detection for explicit ETF/BEES/IETF rows."
47,SSE_CL,Santiago Stock Exchange,Chile,official_full,116,30,18,1,1,exchange_directory,bolsa_santiago_instruments,exchange_directory_candidate,Bolsa de Santiago,Stock|ETF,bolsa_santiago_instruments_json,https://www.bolsadesantiago.com/api/RV_ResumenMercado/getInstrumentos,implemented,high,false,implemented through the official Bolsa de Santiago instruments API using a browser session to satisfy Radware/CSRF requirements,"The official Angular endpoint returns NEMO, issuer name, and instrument type after a browser session is established from informacion-instrumentos. The parser gates to current SSE_CL listings by exact ticker or whitespace-normalized NEMO only; it does not infer ISIN or sector/category from this source."
48,BIST,Borsa Istanbul,Turkey,official_full,0,0,0,0,1,exchange_directory,bist_kap_mkk_listed_securities,global_expansion_candidate,KAP/MKK,Stock|ETF,bist_kap_mkk_listed_securities_json,https://www.kap.org.tr/tr/bist-sirketler,implemented,high,false,not yet in current exchange bucket list; official source is implemented as a global-expansion feed pending listing-key import,"KAP provides the official BIST listed-company ticker set; MKK provides the official securities registry with ISINs. Parser keeps only normal HS share classes and BYF ETFs, excluding warrants, bonds, and privileged share classes."
49,SGX,Singapore Exchange,Singapore,official_full,0,0,0,0,1,exchange_directory,sgx_securities_prices,global_expansion_candidate,SGX,Stock|ETF,sgx_securities_prices_json,https://www.sgx.com/securities/securities-prices,implemented,high,false,"implemented via official SGX securities prices API; this feed exposes tradeable stock/ETF universe and instrument types but does not expose ISIN, so a separate SGX identifier source is still needed before importing SGX rows as complete core listings","The official api.sgx.com securities endpoint exposes SGX code, name, market board, instrument type, and trading metadata. Parser keeps stocks, REITs, business trusts, ADRs, and ETFs, excluding warrants, certificates, and bonds."
50,TADAWUL,Saudi Exchange,Saudi Arabia,official_full,0,0,0,0,1,exchange_directory,tadawul_main_market_watch,global_expansion_candidate,Saudi Exchange,Stock|ETF,tadawul_securities_json,https://www.saudiexchange.sa/wps/portal/tadawul/market-participants/issuers/issuers-directory,implemented,high,false,implemented via official issuer directory plus official ThemeSearch symbol/ISIN feed; still outside the current primary exchange universe until the listing-key-first expansion imports TADAWUL rows,"The official issuer directory identifies active company symbols, while the official theme-search JSON feed exposes symbol, English name, market type, and ISIN. Parser keeps active M/S stock rows and E/C traded fund rows with valid ISINs, and excludes derivatives, sukuk/bonds, and mutual funds."
51,SET,Stock Exchange of Thailand,Thailand,official_full,547,196,4,0,4,exchange_directory|listed_companies_subset,set_stock_search,source_expansion_candidate,SET,Stock|ETF,set_stock_search_json,https://www.set.or.th/api/set/stock/list,implemented,medium,false,implemented via the official SET stock-list API discovered from the Nuxt stock-search page,"The API is protected by Incapsula for direct requests from this environment, so the fetcher uses requests first, then an optional Playwright browser capture, and finally cache fallback. The parser conservatively keeps common-stock and ETF security types only and maps official SET sector codes to canonical stock sectors where possible."
52,PSX,Pakistan Stock Exchange,Pakistan,official_full,373,104,16,0,3,exchange_directory|listed_companies_subset,psx_dps_symbols_directory,source_expansion_candidate,PSX,Stock|ETF,psx_dps_symbols_json,https://dps.psx.com.pk/symbols,implemented,medium,false,implemented via official PSX DPS /symbols JSON endpoint,"Direct official DPS JSON improves PSX stock and ETF symbol/name/sector coverage. Parser skips debt instruments, rights, bonds and closed-end mutual funds, maps PSX sector labels to canonical sectors, and treats the feed as an official exchange directory without ISIN coverage."
53,KOSDAQ,KOSDAQ,South Korea,official_full,1583,5,3,6,1,exchange_directory,kosdaq_data_portal_full_directory,source_expansion_candidate,KRX,Stock|ETF,krx_data_portal_json,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,implemented,medium,false,implemented through the existing official KRX listed-company endpoint; residual KOSDAQ gaps are field-level review issues rather than a missing source-discovery item,KOSDAQ rows share the same KRX Global listed-company endpoint. The parser now uses official std_ind_cd/ind_nm fields to fill stock_sector when the taxonomy can be mapped deterministically.
54,SEM,Stock Exchange of Mauritius,Mauritius,official_full,53,0,49,6,1,exchange_directory,sem_listed_companies,listed_companies_candidate,SEM,Stock|ETF,sem_isin_xlsx,https://www.stockexchangeofmauritius.com/,implemented,medium,false,implemented via official SEM CDS ISIN workbook,The official CDS ISIN workbook covers Official Market and DEM instruments; parser gates rows against current SEM listings by ISIN to avoid importing debt/preference instruments as ticker rows.
