priority_rank,listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,allowed_source_path,apply_eligibility,source_gate,next_action
1,NASDAQ::APUR,APUR,NASDAQ,Stock,Aperture AC,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ARCI,ARCI,NASDAQ,Stock,Archimedes Tech SPAC Partners III Co.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ARCL,ARCL,NASDAQ,Stock,ARC Group Acquisition I Corp,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::AUC,AUC,NASDAQ,Stock,ATIF Holdings Limited,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::AYA,AYA,NASDAQ,Stock,Aya Gold & Silver Inc.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::BMM,BMM,NASDAQ,Stock,Blue Moon Metals Inc.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::BREZ,BREZ,NASDAQ,Stock,Breeze Acquisition Corp. II,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::BRHY,BRHY,NASDAQ,ETF,BlackRock High Yield ETF,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::BRKD,BRKD,NASDAQ,ETF,Direxion Daily BRKB Bear 1X Shares,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::CAII,CAII,NASDAQ,Stock,Collective Acquisition Corp. II - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::CAQ,CAQ,NASDAQ,Stock,Cambridge Acquisition Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::CMII,CMII,NASDAQ,Stock,Columbus Circle Capital Corp II,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::CTW,CTW,NASDAQ,Stock,CTW - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::EU,EU,NASDAQ,Stock,enCore Energy Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::FLD,FLD,NASDAQ,Stock,"Fold Holdings, Inc. Class A Common Stock",official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::FTHA,FTHA,NASDAQ,Stock,Forefront Tech Holdings Acquisition Corp - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::GAVA,GAVA,NASDAQ,ETF,Grayscale Avalanche Trust ETF Common Units of Fractional Undivided Beneficial Interest,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::GCGR,GCGR,NASDAQ,Stock,General Catalyst Global Resilience Merger Corp. - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::GDFN,GDFN,NASDAQ,ETF,Tema International Defense Innovation ETF,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::GPAC,GPAC,NASDAQ,Stock,General Purpose Acquisition Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::HELP,HELP,NASDAQ,Stock,Cybin Inc.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::HERZ,HERZ,NASDAQ,ETF,"Herzfeld Credit Income Fund, Inc",fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::HQ,HQ,NASDAQ,Stock,Horizon Quantum Holdings Ltd.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::INRO,INRO,NASDAQ,ETF,BlackRock U.S. Industry Rotation ETF,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::ITG,ITG,NASDAQ,Stock,"ITG, Inc. - Class A Common Stock",official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::KEEL,KEEL,NASDAQ,Stock,Keel Infrastructure Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::KEYY,KEYY,NASDAQ,Stock,Keystone Acquisition Corp. - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::KTWO,KTWO,NASDAQ,Stock,K2 Capital Acquisition Corporation,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::LAYS,LAYS,NASDAQ,ETF,STKd 100% NVDA & 100% AMD ETF,fund_or_trust_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact fund/trust symbol and product name with checksum.,review official instrument scope before identifier enrichment
1,NASDAQ::LFS,LFS,NASDAQ,Stock,"LEIFRAS Co., Ltd.",official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::MCAH,MCAH,NASDAQ,Stock,Mountain Crest Acquisition 6 Corp. - Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::MLAC,MLAC,NASDAQ,Stock,Mountain Lake Acquisition Corp. Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::MOB,MOB,NASDAQ,Stock,Mobilicom Limited,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::MYCO,MYCO,NASDAQ,ETF,SPDR SSGA My2035 Corporate Bond ETF,debt_or_securitized_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact instrument code/name and ISIN checksum; never issuer-equity propagation.,review official instrument scope before identifier enrichment
1,NASDAQ::MYMK,MYMK,NASDAQ,ETF,SPDR SSGA My2031 Municipal Bond ETF,debt_or_securitized_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact instrument code/name and ISIN checksum; never issuer-equity propagation.,review official instrument scope before identifier enrichment
1,NASDAQ::MYX,MYX,NASDAQ,Stock,Maywood Acquisition Corp. 2,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::NCEL,NCEL,NASDAQ,Stock,NewcelX Ltd.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::NGEN,NGEN,NASDAQ,Stock,NervGen Pharma Corp. - Common stock,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::NHIV,NHIV,NASDAQ,Stock,NewHold Investment Corp IV,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
