listing_key,ticker,exchange,current_name,twelvedata_name,validation_status,recommended_next_action,rejection_reason,review_batch
NASDAQ::XOMAP,XOMAP,NASDAQ,XOMA Corp,XOMA Royalty Corporation 8.625% Perpetual Preferred Stock Series A,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::ODTC,ODTC,OTC,Odonate Therapeutics,FNCL 2.5 2013 USB Float,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::TETAA,TETAA,OTC,"Alpha G Investment Management, Inc.",Teton Advisors Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::TETAB,TETAB,OTC,"Alpha G Investment Management, Inc.",Teton Advisors Inc.,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::GOFPY,GOFPY,OTC,Allwyn AG,Opap S.A.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::SUIG,SUIG,NASDAQ,SUI Group Holdings Limited,"Mill City Ventures III, Ltd.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::AMSSY,AMSSY,OTC,ams AG,ams-OSRAM AG American Depositary Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::AIOS,AIOS,NASDAQ,AIOS Tech Inc.,"NiSun International Enterprise Development Group Co., Ltd. Class A",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NXTS,NXTS,NASDAQ,Nexentis Technologies Inc.,"N2OFF, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::OBAI,OBAI,NASDAQ,"Our Bond, Inc.","TG-17, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::BUSEP,BUSEP,NASDAQ,First Busey Corporation,"First Busey Corporation 8.25% Series B Non-Cumulative Perpetual Preferred Stock, Depositary Shares, each representing a 1/40th interest in a share",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
BATS::SOLM,SOLM,BATS,Amplify Solana 3% Monthly Option Income ETF,SOL S.p.A.,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::MURGY,MURGY,OTC,Munich Reinsurance Company,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
BATS::GLBL,GLBL,BATS,Pacer Funds Trust Pacer MSCI Wo,Glanbia plc,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
BATS::DECP,DECP,BATS,PGIM US Large-Cap Buffer 12 ETF - December,JCDecaux SE,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::APAD,APAD,NASDAQ,A Paradise Acquisition Corp.,Enhanced Group Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::SBLX,SBLX,NASDAQ,"StableX Technologies, Inc.","AYRO, Inc.",no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NYSE MKT::CITR,CITR,NYSE MKT,CitroTech Inc.,General Enterprise Ventures Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
OTC::HWKRF,HWKRF,OTC,Hawkmoon Resources Corp,Earthwise Minerals Corp.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::GIG,GIG,NASDAQ,GigCapital7 Corp. Class A Ordinary Share,Hadron Energy Inc.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::SONM,SONM,NASDAQ,"DNA X, Inc.",Sonim Technologies Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::VSTD,VSTD,NASDAQ,Vestand Inc.,Yoshiharu Global Co.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::YI,YI,NASDAQ,111 Inc,"111, Inc. American Depositary Receipt",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::MSOVF,MSOVF,OTC,Greatbanks Resources Ltd,GOLDHILLS HLDG LTD.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BECEF,BECEF,OTC,BCE Inc,BCE Preferred Stock Series CN,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BRQL,BRQL,OTC,DYNAMIC AEROSPACE SYSTEMS Corp,Brooqly Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::CYJBY,CYJBY,OTC,Hiab Oyj,Cargotec Corporation Unsponsored ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::HPYCF,HPYCF,OTC,Happy Creek Minerals Ltd,Fox Tungsten Ltd.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::SMNRF,SMNRF,OTC,FNX Inc.,FNX Inc. Subordinate Voting Shares,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
BATS::TENM,TENM,BATS,ishares Large Cap 10% Target Buffer Mar ETF,Tenaris S.A.,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::LONA,LONA,NASDAQ,"LeonaBio, Inc.",Athira Pharma Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::DDNFD,DDNFD,OTC,DDNFD,ADAMERA MINERALS CORP,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BZQIY,BZQIY,OTC,Bezeq Corp Ltd,Bezeq The Israeli Telecommunication Corp Limited Unsponsored ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::SRTA,SRTA,NASDAQ,"Strata Critical Medical, Inc.","Blade Air Mobility, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::DOWAD,DOWAD,OTC,DOWAD,Defeng Solife Holdings Limited Sponsored ADR,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NYSE::BIPI,BIPI,NYSE,BIP Bermuda Holdings I Limited,Brookfield Infrastructure Partners L.P. Preferred Stock 5.125% Perpetual,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::XOMAO,XOMAO,NASDAQ,XOMA Corporation,XOMA Corporation 8.375% Perpetual Preferred Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::BXP,BXP,NYSE,"BXP, Inc.","Boston Properties, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::APXYY,APXYY,OTC,Appen Limited,Appen Ltd. Unsponsored American Depositary Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::CAOHF,CAOHF,OTC,FDG Electric Vehicles Limited,Fosun International Ltd.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::GRYCF,GRYCF,OTC,Graycliff Exploration Limited,"The GEO Group, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::GRIN,GRIN,NASDAQ,VictoryShares International Free Cash Flow Growth ETF,Grindrod Shipping Holdings Ltd,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::AIXC,AIXC,NASDAQ,"AIxCrypto Holdings, Inc.",Qualigen Therapeutics Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::AUOTY,AUOTY,OTC,AUO Corporation,Au Optronics Corp. - Sponsored ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::AAUGF,AAUGF,OTC,Aero Energy Limited,Manhattan Uranium Discovery,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::DAZSF,DAZSF,OTC,ZKGC New Energy Ltd,Da Ai Zhi Shui International Holding Group Ltd,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::FNMFM,FNMFM,OTC,Federal National Mortgage Association,Fannie Mae Preferred Stock Series E 5.1%,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::VGLS,VGLS,OTC,SB Technology Holdings Inc.,VG Life Sciences Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::PVILF,PVILF,OTC,Partners Value Invts LP,PVILF,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
BATS::PSMD,PSMD,BATS,Pacer Funds Trust - Pacer Swan SOS Moderate (December) ETF,ProSiebenSat.1 Media SE,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::CBUIF,CBUIF,OTC,C=Holdings B.V,Commodore International Ltd,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::AASP,AASP,OTC,Agassi Sports Entertainment Corp.,Global Acquisitions Corporation,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::TVFCF,TVFCF,OTC,Télévision Française 1 Société anonyme,TF1 Group,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::WCHS,WCHS,OTC,Digital Energy Reserve Inc,Winchester Holding Group,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
BATS::MARU,MARU,BATS,AllianzIM U.S. Equity Buffer15 Uncapped Mar ETF,"Martifer SGPS, S.A.",ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
NASDAQ::ADAMH,ADAMH,NASDAQ,"Adamas Trust, Inc.","New York Mortgage Trust, Inc. - 9.875% Senior Notes Due 2030",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::UXIN,UXIN,NASDAQ,Uxin Ltd,Uxin Limited American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::ZEO,ZEO,NASDAQ,Zeo Energy Corp,Esgen Acquisition Corp.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::AGBK,AGBK,NYSE,AGI Inc,AGI Inc Class A Common Stock,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::SRTTY,SRTTY,OTC,ZOZO Inc,"Zozo, Inc. American Depositary Receipt",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::JOYY,JOYY,NASDAQ,JOYY Inc,JOYY Inc. American Depositary Shares,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::FMCKM,FMCKM,OTC,Federal Home Ln Mtg,Freddie Mac Preferred Stock 5.57% Perpetual,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BGADF,BGADF,OTC,Brigadier Gold Limited,Total Metals Corp.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::LPPSY,LPPSY,OTC,LPP SA,LPP S.A. Unsponsored ADR,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::SCVFD,SCVFD,OTC,SCVFD,Scotch Creek Ventures Inc.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::CGCT,CGCT,NASDAQ,Cartesian Growth Corporation III Class A Ordinary Shares,Factorial Energy Inc.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::AEOXF,AEOXF,OTC,Aeroports de Paris SA,"Automatic Data Processing, Inc.",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::NAKA,NAKA,NASDAQ,Nakamoto Inc.,"Kindly MD, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::RNA,RNA,NASDAQ,"Atrium Therapeutics, Inc. Common Stock",Avidity Biosciences Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::ANYYY,ANYYY,OTC,Aena S.M.E. S.A,"Peabody, Massachusetts School Project",ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
OTC::CNTHO,CNTHO,OTC,The Connecticut Light and Power Company,Eversource Energy 5.28% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::CNLHO,CNLHO,OTC,The Connecticut Light and Power Company,Eversource Energy 4.5% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::VIASP,VIASP,NASDAQ,Via Renewables Inc,"Via Renewables, Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::NCEL,NCEL,NASDAQ,NewcelX Ltd.,NLS Pharmaceutics Ltd.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NYSE::OPTU,OPTU,NYSE,"Optimum Communications, Inc.",Altice USA Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::GDIGF,GDIGF,OTC,Nuclear Vision Limited,Union Power Metals Corporation,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::SOHGF,SOHGF,OTC,ALSOK Co Ltd./ADR,"Sohgo Security Services Co., Ltd.",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::VINZF,VINZF,OTC,London BTC Company Limited,Vinanz Ltd.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::TBNRL,TBNRL,OTC,Tamboran Resources Corporation,"Tamboran Resources Corp CHESS Depositary Interests (CDIs) – ticker 9HT, representing depositary receipts over Tamboran Resources Corporation shares",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::HBANL,HBANL,NASDAQ,Huntington Bancshares Incorporated,"Huntington Bancshares Incorporated - Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::FNMFO,FNMFO,OTC,Federal National Mortgage Association,Fannie Mae 5.375% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::NMKCP,NMKCP,OTC,NATIONAL GRID PLC,Niagara Mohawk Power 3.9% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::BPOPO,BPOPO,OTC,Popular Inc,Popular Inc. Preferred Stock 6.375% Perpetual Series A,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::HPQFF,HPQFF,OTC,HPQ-Silicon Resources Inc,Hewlett Packard Enterprise Company,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
OTC::CNLPL,CNLPL,OTC,The Connecticut Light and Power Company,Eversource Energy Series G Preferred Stock Callable Perpetual 3.24%,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::ATON,ATON,NASDAQ,AlphaTON Capital Corp.,Portage Biotech Inc.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
OTC::INIS,INIS,OTC,RADNOSTIX INC,International Isotopes Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::CRESY,CRESY,NASDAQ,Cresud SACIF y A,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria - American Depositary Receipt",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::SBAGY,SBAGY,OTC,Strabag SE,Strabag SE Unsponsored American Depository Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_a_us_core
NASDAQ::CCNEP,CCNEP,NASDAQ,CNB Financial Corporation,CNB Financial Corporation 7.125% Series A Non-Cumulative Perpetual Preferred Stock Depositary Shares,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
NASDAQ::AURE,AURE,NASDAQ,Aurelion Inc.,Prestige Wealth Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata,batch_a_us_core
NASDAQ::BGMS,BGMS,NASDAQ,"Bio Green Med Solution, Inc.","Cyclacel Pharmaceuticals, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::QKIE,QKIE,OTC,QKI EMULSION INC,QuantumKore Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
OTC::SFRIF,SFRIF,OTC,SFRIF,Metalsource Mining Inc.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_a_us_core
NASDAQ::WB,WB,NASDAQ,Weibo Corp,Weibo Corporation American Depositary Receipt,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_a_us_core
BATS::ABLD,ABLD,BATS,Abacus FCF Real Assets Leaders ETF,Abbott Laboratories,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_a_us_core
