listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,name_score,supporting_providers,supporting_provider_names,figi_evidence,deepseek_decision_candidate,deepseek_safe_action,apply_status,apply_gate,recommended_operation,review_batch
TSXV::AXO,AXO,TSXV,AXO Copper Corp.,Axo Metals Corp.,Common Stock,0.5,OpenFIGI,OpenFIGI:AXO METALS CORP,BBG01T5DKNT7,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::KOVO,KOVO,TSXV,Kovo Healthtech Corp,Kovo Holdings Inc.,Common Stock,0.5,OpenFIGI,OpenFIGI:KOVO+ HOLDINGS INC,BBG0119BKNY2,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::NTDO,NTDO,NEO,NINTENDO CO LTD CDR (CAD Hedged),"Nintendo Co., Ltd.",Depositary Receipt,0.516,OpenFIGI,OpenFIGI:NINTENDO CO LTD,BBG01S69QB35,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::CGY,CGY,TSX,Calian Technologies Ltd,Calian Group Ltd.,Common Stock,0.516,OpenFIGI,OpenFIGI:CALIAN GROUP LTD,BBG000BBJ8C1,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::KLX,KLX,TSXV,Klimat X Developments Inc.,Carbon Done Right Development LLC,Common Stock,0.519,OpenFIGI,OpenFIGI:CARBON DONE RIGHT DEVELOPMEN,BBG000D3M815,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::DPM,DPM,TSX,Dundee Precious Metals Inc,DPM Metals Inc.,Common Stock,0.562,OpenFIGI,OpenFIGI:DPM METALS INC,BBG000G9HTM6,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::MTSU,MTSU,NEO,MITSUBISHI CORP CDR (CAD Hedged),Mitsubishi Corporation,Depositary Receipt,0.571,OpenFIGI,OpenFIGI:MITSUBISHI CORP,BBG01SCL5ZB2,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::VWA,VWA,NEO,VOLKSWAGEN CDR (CAD HEDGED),Volkswagen AG,Depositary Receipt,0.571,OpenFIGI,OpenFIGI:VOLKSWAGEN AG,BBG01SQDCPM7,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::PGP,PGP,TSXV,Cobalt Power Group Inc,Power Group Projects Corp.,Common Stock,0.579,OpenFIGI,OpenFIGI:POWER GROUP PROJECTS CORP,BBG000QF9ZB8,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::VISA,VISA,TSX,Visa CDR (CAD Hedged),Visa Inc. - CDR,Depositary Receipt,0.593,OpenFIGI,OpenFIGI:VISA INC - CDR,BBG012TBBS31,keep_source_gap,source_gap_accept,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
