ticker,exchange,confidence,reason
BAFARB,BMV,0.99,Official BMV search and issuer-directory references do not list this symbol as an active BMV listing.
BBVANDQC,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF; broader term matches only resolve to unrelated BBVA mutual-fund share classes.
CERAMICB,BMV,0.99,Official BMV search and issuer-directory references do not list this symbol as an active BMV listing.
COXA,BMV,0.99,Official BMV search does not list this symbol as an active BMV listing; only unrelated COX Global results remain for broader term matches.
DTN,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF; broader term matches only resolve to unrelated Global/SIC products.
FFR,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF; broader term matches only resolve to unrelated Principal fund share classes.
FHIPO14,BMV,0.99,Official BMV search does not list this symbol as an active BMV equity line; only unrelated debt/trust results remain for broader term matches.
FRC,BMV,0.99,Official BMV search and issuer-directory references do not list this symbol as an active BMV listing.
INVEXCOA,BMV,0.99,Official BMV search and issuer-directory references do not list this symbol as an active BMV listing.
MONEXB,BMV,0.99,Official BMV search does not list this symbol as an active BMV equity line; broader term matches only resolve to unrelated fund share classes.
OPORT1B,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF or TRACS product.
RSX,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF or TRACS product.
TEFN,BMV,0.99,Official BMV search and issuer-directory references do not list this symbol as an active BMV listing.
VMEX19,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF or TRACS product.
KASHYAP,BSE_IN,0.96,"Delisted from BSE (official BSE status=Delisted, ListofScripData 2026-06-19): Kashyap Tele-Medicines Ltd"
MAHAVEER,BSE_IN,0.96,"Delisted from BSE (official BSE status=Delisted, ListofScripData 2026-06-19): Mahaveer Infoway Ltd"
OSWALEA,BSE_IN,0.96,"Delisted from BSE (official BSE status=Delisted, ListofScripData 2026-06-19): Oswal Leasing Ltd"
QUINTEGRA,BSE_IN,0.96,"Delisted from BSE (official BSE status=Delisted, ListofScripData 2026-06-19): Quintegra Solutions Ltd"
TULIVE,BSE_IN,0.99,Official BSE ListofScripData status is Delisted; generated by scripts/apply_delistings.py from the gated delisting report.
CEON,BVB,0.99,Current official BVB active shares directory does not list this symbol and the official BVB detail page marks it as Delistata.
MECE,BVB,0.99,Current official BVB active shares directory does not list this stale symbol and the official BVB detail page marks it as Delistata; the active issuer line is represented by MFC.
SCD,BVB,0.99,Current official BVB active shares directory does not list this symbol and the official BVB detail page marks it as Delistata.
TUFE,BVB,0.99,Current official BVB active shares directory does not list this symbol and the official BVB detail page marks it as Delistata.
XFOA,BVB,0.99,"Official BVB detail page marks this symbol as active Unitati de fond / Units-SMT rather than a stock or ETF, so it is outside the current core Stock/ETF export scope."
1163PA,Bursa,0.99,"Official Bursa Malaysia equity ISIN PDF lists 1163PA as PREFERENCE SHARES, so the active line belongs in the future extended-instrument model rather than the current Stock/ETF core export."
8125,Bursa,0.99,"Official Bursa Malaysia equity ISIN PDF as of 31 Mar 2026 and the Bursa equities-prices API no longer list 8125 as an active Bursa equity, so the remaining core row is stale."
8834,Bursa,0.99,"Official Bursa Malaysia equity ISIN PDF as of 31 Mar 2026 and the Bursa equities-prices API no longer list 8834 as an active Bursa equity, so the remaining core row is stale."
BRAINP,CPH,0.99,"Official Nasdaq First North Denmark notices show BRAINP was removed from trading in April 2026, so the remaining CPH core row is stale."
CWIEMMKL,CPH,0.99,"Official Nasdaq Nordic search resolves CWIEMMKL as a DKK fund instrument rather than a Copenhagen share, so the remaining stock-core row is a fund misclassification."
DKIDIO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIDK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIDKLOBL,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEAUHU,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEIGO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEU,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEUADKKH,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEUIXBNP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEUSC,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIEUSCADK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIFJIX,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIFO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGHYB,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGI,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGIADKKH,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGLIADKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGLIO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGLOVO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGMI,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIGOM,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIJAP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIKO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIMA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIMDA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIMOAK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIMOB,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKIMOPA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKINMAKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKINMOBL,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
DKINVO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
FPIGA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
FPILIM,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
FUISP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
FUISPA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
IAIFBF,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
IAIFDA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
IAIKGA,CPH,0.99,"Official Nasdaq Nordic search resolves IAIKGA as a DKK fund instrument rather than a Copenhagen share, so the remaining stock-core row is a fund misclassification."
JYIALVKL,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
JYINYAKL,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
JYIOBAKKL,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
LEDIBOND,CPH,0.99,"Official Nasdaq First North Denmark notices show LEDIBOND was removed from trading in April 2026, so the remaining CPH core row is stale."
MAJDKA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MAJGO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MAJHIO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MAJPEN,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MAJVA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MMIGA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
MMIGAA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIBDA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIDA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIDAA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIGFA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIGLA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYIKO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
NYILO,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PFIBAA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PFIBAB,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PFIBAC,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PFIDKA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PFIGLA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PMINDI,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
PMINDIAKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
RLAINV,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SDIGBA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SEIDAAP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SEIDKAP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SEIESCP,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SKIKON,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SKIM2,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SKIVEK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SPIKOOKLA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SRIGAU,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
STIIAM,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYIFJERADK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYIGEAADKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYIKOADKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYIMOADKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYIVLVADKK,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYVAUA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
SYVKUA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
VAIGAKA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
VAIGLOA,CPH,0.99,Official Nasdaq Nordic Copenhagen shares directory does not list this symbol as an active Copenhagen share and the remaining core row is a fund or investment-product line rather than a common equity.
IRAX,EGX,0.95,db-wide audit 2026-06-21: delisted from EGX
NBKE,EGX,0.95,db-wide audit 2026-06-21: voluntarily delisted from EGX
1053P,Euronext,0.99,"Official Euronext product page identifies 1053P / PTBITHYM0080 as BCP S&P500 EUR, a structured product/warrant certificate on an index, not a stock or ETF; outside current stock/ETF export scope."
SSS2D,Euronext,0.99,"Official Euronext product page identifies SSS2D as Euronext S Stellantis 030323 GR Decrement 1.34 Index, not a stock or ETF; outside current stock/ETF export scope."
XEU,Euronext,0.99,Official TMX listed-issuers workbook shows XEU as a TSX ETF while the current Euronext core row carries a Canadian ISIN and is a wrong-venue contamination.
ARDO,IDX,0.99,Official IDX stock directory now lists the active issuer as ADRO while ARDO returns no active stock result; the remaining ARDO core row is a stale pre-rename ticker.
XCID,IDX,0.99,Official IDX active stock directory does not list XCID as an active stock listing; the remaining core row is a non-core DIRE or REIT line outside the current stock universe.
XCIS,IDX,0.99,Official IDX active stock directory does not list XCIS as an active stock listing; the remaining core row is a non-core DIRE or REIT line outside the current stock universe.
444920,KOSDAQ,0.96,"Yuanta No.11 SPAC — delisted from KOSDAQ 2026-04-06 (failed merger, liquidated/dissolved; web-verified)"
450940,KOSDAQ,0.99,Official KRX/KIND disclosure identifies Yuanta 14 SPAC (450940/A450940) as delisted on 2026-02-19; drop stale delisted SPAC from current stock/ETF scope rather than filling an ISIN on an inactive shell row.
455910,KOSDAQ,0.96,"SK Securities No.9 SPAC — delisted from KOSDAQ 2026-03-04 (failed merger, dissolved; web-verified)"
457940,KOSDAQ,0.98,"Korean market disclosures and disclosure-news sources identify SK Securities No.10 SPAC (457940/A457940) as subject to SPAC delisting procedure, with cleanup trading from 2026-03-05 to 2026-03-13 and delisting on 2026-03-16; drop stale delisted SPAC from current stock/ETF scope."
458610,KOSDAQ,0.99,"Official KRX/KIND disclosure identifies Korea No.12 SPAC (458610/A458610) as delisted on 2026-03-23, with follow-on disclosure/news reporting liquidation after delisting; drop stale delisted SPAC from current stock/ETF scope."
0NYY,LSE,0.97,"Current official LSE price explorer lists Banco Comercial Portugues under active ticker 0RJN with ISIN PTBCP0AM0015, while 0NYY is absent from current LSE sources; drop stale pre-change duplicate."
0P0001J2VW,LSE,0.97,"Current official LSE price explorer lists the Amundi MSCI Europe SRI PAB product under active exchange tickers ESRG/ESRU with ISIN LU1861137484, while 0P0001J2VW is a non-exchange identifier absent from LSE sources; drop stale duplicate."
0Y5F,LSE,0.97,"Current LSE official sources do not list 0Y5F as active, Nasdaq delisted Endo International plc ordinary shares after 2022 suspension, and market references mark 0Y5F inactive; drop stale non-current row."
3SPP,LSE,0.99,"GraniteShares RNS termination notice identified LSE ticker 3SPP / ISIN XS2376992389 for termination in December 2024, and current official LSE sources no longer list 3SPP; drop stale terminated ETP row."
IQGA1,LSE,0.97,"Current official LSE price explorer lists Invesco Global Enhanced Equity UCITS ETF under active tickers IQGA/IQGX with ISIN IE000TZ4SIN6, and the dataset already carries IQGA/IQGX while IQGA1 is absent from LSE sources; drop stale duplicate."
REDC,LSE,high,"OpenFIGI ISIN-validation symbol-reconciliation 2026-06-22: Red Capital PLC renamed to Apertura Energy Plc, retickered REDC->VZLA on LSE (2026-06-01); old symbol REDC defunct. Cannot re-key: VZLA already held by Vizsla Silver (NYSE MKT) under the DB's one-symbol-global rule."
SLPE,LSE,0.97,Renamed to Patria Private Equity Trust (PPET) 2024; successor PPET already a primary -> stale rename duplicate (completeness audit 2026-06-19)
TV1,LSE,0.97,"Renamed to Foresight Ventures VCT (FVEN, GB00BRBQ0C76) Nov 2024; successor FVEN already a primary -> stale rename duplicate (completeness audit 2026-06-19)"
