ticker,exchange,alias,reason,confidence
ALV,NYSE,allianz se vna o.n,German exchange-specific description for Allianz SE shares; entirely unrelated to Autoliv.,0.8
ALV,NYSE,alvo minerals,Alvo Minerals is a separate ASX-listed mining company; no connection to Autoliv.,0.8
ALV,NYSE,alvopetro energy,Alvopetro Energy is a separate TSX-listed oil company; no connection to Autoliv.,0.8
ALZ,STO,allianz,"Allianz is a major German insurer (ALV on Xetra), entirely unrelated to Alzinova AB. Cross-company collision.",0.85
AMC,NYSE,amica,Yahoo alias verification marked `amica` as likely_other_entity.,
AMDD,NASDAQ,advanced micro devices,"AMD (Advanced Micro Devices) is the underlying tracked by this bear ETF, not the issuer. The alias correctly identifies a different entity and would cause severe routing confusion.",0.8
AMM,XETRA,almaden minerals,Almaden Minerals is a Canadian mining company; no relationship to The Grounds Real Estate Development AG.,0.87
ANI,XETRA,afine investments,Yahoo alias verification marked `afine investments` as likely_other_entity.,
ANI,XETRA,asia network international,Yahoo alias verification marked `asia network international` as likely_other_entity.,
AOTVF,OTC,cambria gold mines,Cambria Gold Mines (CAMB) is a separate company with no relationship to Ascot Resources Ltd.,0.87
APL,WSE,appul,Yahoo alias verification marked `appul` as likely_other_entity.,
APL,WSE,associate global partners,Yahoo alias verification marked `associate global partners` as likely_other_entity.,
APO,NYSE,asian palm oil public,Yahoo alias verification marked `asian palm oil public` as likely_other_entity.,
APS,WSE,aptose biosciences,Yahoo alias verification marked `aptose biosciences` as likely_other_entity.,
ARG,Euronext,argo investments,Yahoo alias verification marked `argo investments` as likely_other_entity.,
ARL,NYSE,arlen,Yahoo alias verification marked `arlen` as likely_other_entity.,
ARL,NYSE,astral foods,Yahoo alias verification marked `astral foods` as likely_other_entity.,
ARL,NYSE,aurum lake mining,Yahoo alias verification marked `aurum lake mining` as likely_other_entity.,
ARREF,OTC,argo investments,Yahoo alias verification marked `argo investments` as likely_other_entity.,
ART,LSE,airtasker,Yahoo alias verification marked `airtasker` as likely_other_entity.,
ART,LSE,argent,Yahoo alias verification marked `argent` as likely_other_entity.,
ART,LSE,arteche lantegi elkartea,Yahoo alias verification marked `arteche lantegi elkartea` as likely_other_entity.,
ART,LSE,artifex mundi,Yahoo alias verification marked `artifex mundi` as likely_other_entity.,
ASE,WSE,asante gold,"Asante Gold is a distinct company with no connection to Asseco SEE; cross-company collision confirmed, weak lexical overlap.",0.8
ASGR,IDX,aspen,"Aspen refers to distinct companies (e.g. Aspen Pharmacare, Aspen Technology); cross-company collision confirmed, no lexical link to Astra Graphia.",0.82
ASL,LSE,aisha steel mills,Unrelated company; no lexical or structural overlap with Aberforth Smaller Companies Trust.,0.82
ASL,LSE,andean silver,Unrelated mining company; cross-company collision and no overlap with the trust name.,0.82
ASL,LSE,argentum silver,Unrelated company; cross-company collision and no overlap with the trust name.,0.82
ASL,LSE,automatic systems,Generic/unrelated company name; no overlap with Aberforth Smaller Companies Trust.,0.82
AST,LSE,arctic stream,Yahoo alias verification marked `arctic stream` as likely_other_entity.,
AST,LSE,taseco air services jsc,Yahoo alias verification marked `taseco air services jsc` as likely_other_entity.,
ATT,LSE,altitude minerals,Yahoo alias verification marked `altitude minerals` as likely_other_entity.,
ATT,LSE,attacq,Yahoo alias verification marked `attacq` as likely_other_entity.,
ATT,LSE,attendo ab,Yahoo alias verification marked `attendo ab` as likely_other_entity.,
ATT,LSE,grupa azoty,Yahoo alias verification marked `grupa azoty` as likely_other_entity.,
AUAU,NYSE ARCA,allegiant gold,Current AUAU row is an ETF; Allegiant Gold is an unrelated issuer alias contamination.,0.95
BAT,STO,batero gold,Yahoo alias verification marked `batero gold` as likely_other_entity.,
BAT,STO,brait,Yahoo alias verification marked `brait` as likely_other_entity.,
BID,HOSE,bid corporation,Bid Corporation is a South African JSE-listed company; it has no relation to the Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV).,0.82
BIRD,NASDAQ,blackbird,Yahoo alias verification marked `blackbird` as likely_other_entity.,
BIRD,NASDAQ,thunderbird minerals,Yahoo alias verification marked `thunderbird minerals` as likely_other_entity.,
BOLT,NASDAQ,biolight life sciences,Yahoo alias verification marked `biolight life sciences` as likely_other_entity.,
BOLT,NASDAQ,boldt,Yahoo alias verification marked `boldt` as likely_other_entity.,
BPN,WSE,850518,850518 is the German WKN for BP plc; misattributed to this entry; no relation to Blackpoin.,0.8
BPN,WSE,bp p.l.c,BP plc is a UK oil major; cross-company collision confirmed; no relation to Polish IT company Blackpoin.,0.8
BPN,WSE,british petroleum,Historical name for BP plc; no relation to Blackpoin.,0.8
BRIQ,ATHEX,saba capital income,Yahoo alias verification marked `saba capital income` as likely_other_entity.,
BRK,LSE,BRK-A,Yahoo alias verification marked `BRK-A` as likely_other_entity.,
BRK,LSE,BRK-B,Yahoo alias verification marked `BRK-B` as likely_other_entity.,
BRK,LSE,BRKA,Yahoo alias verification marked `BRKA` as likely_other_entity.,
BRK,LSE,BRKB,Yahoo alias verification marked `BRKB` as likely_other_entity.,
BRK,LSE,Berkshire,Yahoo alias verification marked `Berkshire` as likely_other_entity.,
BRT,NYSE,brimstone investment corporation,Brimstone Investment Corporation is a South African holding company (JSE:BRN). No relation to BRT Realty Trust; likely a ticker-prefix collision.,0.82
BSX,NYSE,belo sun mining,Canadian/Brazilian gold mining company; cross-company collision confirmed; no relation to Boston Scientific.,0.8
BSX,NYSE,blackstone minerals,Australian mining company; no lexical or issuer relation to Boston Scientific Corp.,0.8
BTBT,NASDAQ,bitcoin mining,Generic industry descriptor shared across six bitcoin mining companies. Not a company name or listing identifier.,0.85
BTCX,STO,ci galaxy bitcoin etf,CI Galaxy Bitcoin ETF is a Canadian ETF (TSX:BTCX) — a completely different instrument. Likely a ticker-symbol collision with the Swedish BTCX.,0.85
BTX,NYSE,lineage cell therapeutics,Lineage Cell Therapeutics is an unrelated biotech company. No connection to BlackRock Technology and Private Equity Term Trust; likely a historical ticker reuse collision.,0.82
CAA,ASX,ca sales,No lexical or structural connection to Capral Ltd; likely a cross-company contaminant from a different entity.,0.85
CAG,NYSE,angiang port jsc,Vietnamese port company; no lexical or business connection to ConAgra.,0.8
CAG,NYSE,cag group ab,Swedish company sharing ticker CAG on a different exchange; unrelated to ConAgra.,0.8
CAG,NYSE,composite alliance,No connection to ConAgra; likely a ticker-collision artifact.,0.8
CAI,NASDAQ,ca immobilien anlagen,Yahoo alias verification marked `ca immobilien anlagen` as likely_other_entity.,
CAI,NASDAQ,capitan investment,Yahoo alias verification marked `capitan investment` as likely_other_entity.,
CAI,NASDAQ,carlson investments,Yahoo alias verification marked `carlson investments` as likely_other_entity.,
CAM,NYSE,camellia,Current CAM row is an ETF; Camellia plc is an unrelated issuer alias contamination.,0.97
CAM,NYSE,cascadia minerals,Current CAM row is an ETF; Cascadia Minerals is an unrelated issuer alias contamination.,0.97
CAM,NYSE,clime capital,Current CAM row is an ETF; Clime Capital is an unrelated issuer alias contamination.,0.97
CAMB,Euronext,cambria gold mines,Cambria Gold Mines is an unrelated mining company; no connection to Campine (Belgian specialty metals). Ticker similarity CAMB vs CAMB caused the collision.,0.85
CAP,Euronext,capitea,Swedish financial company; unrelated to Capgemini SE.,0.8
CAP,Euronext,cash plus,Generic term with no connection to Capgemini; likely a collision artifact.,0.8
CAP,Euronext,yen bai forest jsc,Vietnamese forestry company; no connection to Capgemini SE.,0.8
CAT,NYSE,catapult group international,Australian ASX-listed sports analytics company trading as CAT; unrelated to Caterpillar Inc.,0.88
CAT,NYSE,caxton,No connection to Caterpillar Inc; likely a collision artifact.,0.88
CAT,NYSE,central azucarera de tarlac,Philippine sugar company listed as CAT on PSE; unrelated to Caterpillar Inc.,0.88
CBGB,LSE,carlsberg,Carlsberg is a Danish brewer with no connection to a Goldman Sachs China bond ETF; ticker/name similarity caused the contamination.,0.85
CGNT,NASDAQ,copper giant resources,Unrelated mining company; no lexical or structural connection to Cognyte Software Ltd.,0.82
CIH,CSE_MA,china index holdings,China Index Holdings is an unrelated Chinese company; no connection to a Moroccan real-estate credit institution.,0.82
CLS,NYSE,clicks,Clicks Group is a South African retail/pharmacy company (JSE: CLS); unrelated to Celestica Inc.,0.88
CLSK,NASDAQ,bitcoin mining,Generic industry descriptor shared across six+ companies; not a valid company or fund name alias.,0.88
CMCSA,NASDAQ,xfinity,"Xfinity is a consumer brand/product subsidiary of Comcast, not the issuer name. Per review rules, product/brand names should be removed.",0.88
CMG,NYSE,cmc,Different company; no connection to Chipotle,0.82
CMG,NYSE,computer modelling,Computer Modelling Group is TSX:CMG; confirmed cross-company collision,0.82
CMG,NYSE,critical minerals,Different company; no connection to Chipotle,0.82
CNA,NYSE,centrica,"Centrica PLC is a UK energy company; ISIN GB00B033F229 belongs to Centrica, not CNA Financial. Alias contaminated from wrong ISIN source.",0.82
CNO,NYSE,california nanotechnologies,California Nanotechnologies is an unrelated company; no lexical or corporate connection to CNO Financial Group.,0.82
CNQ,NYSE,clean teq water,Clean TeQ Water is an unrelated Australian water technology company; no connection to Canadian Natural Resources.,0.85
COM,NYSE ARCA,catenon,Yahoo alias verification marked `catenon` as likely_other_entity.,
COM,NYSE ARCA,comptoir,Yahoo alias verification marked `comptoir` as likely_other_entity.,
COMB,NYSE ARCA,compagnie du bois sauvage,Compagnie du Bois Sauvage is a Belgian investment holding company; entirely unrelated to this GraniteShares US commodity ETF.,0.83
COPRD,NYSE MKT,idaho copper,Yahoo alias verification marked `idaho copper` as likely_other_entity.,
COV,Euronext,cleo diagnostics,"Cleo Diagnostics is ASX:COV, an Australian medical firm — different issuer on a different exchange.",0.8
COV,Euronext,covalon technologies,"Covalon Technologies is TSXV:COV, a Canadian medical device company — different issuer on a different exchange.",0.8
CPA,NYSE,colgate-palmolive,Colgate-Palmolive (NYSE: CL) is a completely unrelated consumer goods company. Alias was incorrectly attributed to Copa Holdings.,0.82
CPER,NYSE ARCA,coppercorp resources,Coppercorp Resources is a separate mining company. No lexical or conceptual link to 'United States Copper Index Fund LP'.,0.85
CPI,LSE,capitec bank,Capitec Bank is a separate South African bank (JSE:CPI); different company sharing the CPI ticker on a different exchange.,0.88
CPI,LSE,carlton precious,Unrelated company with no corporate connection to Capita PLC.,0.88
CPI,LSE,cpi computer peripherals international,Unrelated technology company; CPI abbreviation collision only.,0.88
CPI,LSE,cpi europe,Unrelated entity; CPI abbreviation collision with no corporate connection to Capita PLC.,0.88
CPRI,NYSE,jimmy choo,"Jimmy Choo is a product brand owned by Capri Holdings, not a company identifier.",0.8
CPRI,NYSE,michael kors,"Michael Kors is a product brand and celebrity name, not the company/fund name.",0.8
CPRI,NYSE,versace,"Versace is a brand owned by Capri Holdings, not an issuer name or listing identifier.",0.8
CRON,NASDAQ,cannabis,Generic industry/sector term shared across many companies; not a valid company or fund identifier.,0.88
CRSP,NASDAQ,gene editing,"Generic technology descriptor shared across at least 6 companies (CRSP, EDIT, NTLA, 0IFK, 0JBU, 0VRQ); not a valid issuer-specific alias.",0.9
CYBR,LSE,pt itsec asia,Yahoo alias verification marked `pt itsec asia` as likely_other_entity.,
DAR,NYSE,dar global,Yahoo alias verification marked `dar global` as likely_other_entity.,
DAR,NYSE,darelle online solutions,Yahoo alias verification marked `darelle online solutions` as likely_other_entity.,
DAR,NYSE,datron,Yahoo alias verification marked `datron` as likely_other_entity.,
DE,NYSE,decisive dividend,"Decisive Dividend is a Canadian company (TSX: DE), completely unrelated to Deere & Company.",0.88
DELT,LSE,delta galil industries,"Delta Galil Industries is an Israeli textile company, unrelated to Deltic Energy PLC.",0.8
DGX,NYSE,digi power x,Cross-company collision; 'Digi Power X' is an unrelated company with no connection to Quest Diagnostics.,0.88
DHC,NASDAQ,DHCNI,"DHCNI is an exchange ticker for a separate Diversified Healthcare Trust notes series, not an alias for the common stock.",0.82
DHC,NASDAQ,DHCNL,"DHCNL is a separate Diversified Healthcare Trust notes series ticker, not a company alias.",0.82
DSN,HOSE,danske bank,Cross-company collision; Danske Bank is a Danish financial institution with no relation to Dam Sen Water Park Corp (Vietnam).,0.82
DSV,CPH,discovery silver,Cross-company collision; 'Discovery Silver' is a Canadian mining company with no relation to DSV Panalpina A/S.,0.88
DTE,NYSE,deutsche telekom,Yahoo alias verification marked `deutsche telekom` as likely_other_entity.,
EA,NASDAQ,285512,"Numeric code consistent with a Thai SET stock identifier for Energy Absolute, not Electronic Arts.",0.82
EA,NASDAQ,ea sports,"EA Sports is a product brand/division, not the issuer name. Review rules require removing obvious product aliases.",0.82
EA,NASDAQ,energy absolute public,Energy Absolute Public Company Limited is a Thai company (SET:EA). This alias was imported via the Thai ISIN/country collision and belongs to a different issuer.,0.82
EA,NASDAQ,fifa,FIFA is a video game product title published by Electronic Arts. Obvious product alias; does not identify the issuer.,0.82
EA,NASDAQ,madden,Madden NFL is a video game product title published by Electronic Arts. Obvious product alias; does not identify the issuer.,0.82
ECL,NYSE,easycall,Unrelated company sharing no meaningful overlap with Ecolab.,0.88
ECL,NYSE,ecol,"ECOL was the ticker for US Ecology Holdings, a different company.",0.88
ECL,NYSE,engie energia chile,Unrelated Chilean energy company.,0.88
ECL,NYSE,excelsior capital,Unrelated company with no connection to Ecolab.,0.88
EDIT,NASDAQ,gene editing,Generic industry/technology descriptor shared across six distinct companies. Not a valid identifier for Editas Medicine specifically.,0.92
ELE,NASDAQ,endesa,Endesa is a major Spanish electricity utility (BME:ELE); completely unrelated to Elemental Royalty Corporation and the collision is between two distinct ELE tickers on different exchanges.,0.82
ELO,OSL,eloro resources,Eloro Resources is a Canadian mining company (TSXV:ELO); unrelated to Elopak AS and clearly a cross-company collision.,0.9
ELV,NYSE,elevra lithium,Unrelated lithium mining company; shares only a prefix with Elevance.,0.88
ELV,NYSE,elvila,Unrelated Spanish furniture retailer.,0.88
EMM,NYSE ARCA,giyani metals,Current EMM row is an ETF; Giyani Metals is an unrelated issuer alias contamination.,0.95
ERD,TSX,eroad,EROAD is a New Zealand/ASX telematics company entirely unrelated to Erdene Resource Development on TSX.,0.85
ESLA,NASDAQ,estée lauder companies,Estée Lauder Companies (NYSE: EL) is an unrelated cosmetics conglomerate; no lexical or business connection to Estrella Immunopharma.,0.85
ESNT,NYSE,essentra,"Essentra plc is a distinct UK company (LSE: ESNT); only superficially similar name, not an alias for Essent Group Ltd.",0.85
ESP,NYSE MKT,brompton energy split,Brompton Energy Split Corp is a Canadian closed-end split fund with no relation to Espey Mfg & Electronics Corp.,0.85
ETL,LSE,e3 lithium,Yahoo alias verification marked `e3 lithium` as likely_other_entity.,
ETL,LSE,euroasia total logistics,Yahoo alias verification marked `euroasia total logistics` as likely_other_entity.,
ETL,LSE,eurotel,Yahoo alias verification marked `eurotel` as likely_other_entity.,
EVER,NASDAQ,evergent investments,Yahoo alias verification marked `evergent investments` as likely_other_entity.,
EVER,NASDAQ,evergold,Yahoo alias verification marked `evergold` as likely_other_entity.,
EVER,NASDAQ,everland public,Yahoo alias verification marked `everland public` as likely_other_entity.,
EWL,NYSE ARCA,edwards lifesciences,"Edwards Lifesciences trades as EW on NYSE, not EWL. This is a cross-company collision with no basis in the fund name.",0.8
EXP,NYSE,exemplar reitail,Yahoo alias verification marked `exemplar reitail` as likely_other_entity.,
EXP,NYSE,experience,Yahoo alias verification marked `experience` as likely_other_entity.,
FAIR,LSE,fairchild gold,Yahoo alias verification marked `fairchild gold` as likely_other_entity.,
FCHDF,OTC,fairchild gold,Yahoo alias verification marked `fairchild gold` as likely_other_entity.,
FCL,ASX,fast cables,No lexical or semantic connection to Fineos Corporation Holdings; likely a collision from a different company.,0.85
FEX,NASDAQ,fenix resources,"Fenix Resources is an ASX-listed Australian mining company with FEX ticker; corresponds to the AU ISIN, not this NASDAQ ETF.",0.8
FEX,NASDAQ,fjordland exploration,Fjordland Exploration is an unrelated Canadian mining company; cross-company collision.,0.8
FINGF,OTC,china index holdings,Belongs to a different company (CIH/FTT); no connection to Finning International.,0.8
FML,ASX,fan milk,Fan Milk is a distinct West African FMCG company; no connection to Focus Minerals.,0.8
FML,ASX,feroze1888 mills,Feroze1888 Mills is a distinct Pakistani textile company; no connection to Focus Minerals.,0.8
FML,ASX,first mutual,Generic financial institution name with no connection to an Australian mining company.,0.8
FTI,NYSE,fortifai,Yahoo alias verification marked `fortifai` as likely_other_entity.,
FTI,NYSE,function international,Yahoo alias verification marked `function international` as likely_other_entity.,
FTT,TSX,885970,Numeric code unrelated to Finning International; likely a stock code for a different instrument.,0.85
FTT,TSX,china index holdings,China Index Holdings (CIH) is an entirely different company; unrelated to Finning International.,0.85
GIGA,XETRA,gigante salmon as,Yahoo alias verification marked `gigante salmon as` as likely_other_entity.,
GIGA,XETRA,gigas hosting,Yahoo alias verification marked `gigas hosting` as likely_other_entity.,
GIGA,XETRA,gigasun,Yahoo alias verification marked `gigasun` as likely_other_entity.,
GLAD,NASDAQ,gladiator metals,Gladiator Metals is a different company; cross-company collision confirmed.,0.8
GLN,ASX,glencore,Glencore is a major global mining company unrelated to Galan Lithium; clear cross-company collision.,0.82
GM,NYSE,cadillac,"Sub-brand/product line of GM, not an issuer name or listing identifier.",0.9
GM,NYSE,chevrolet,"Sub-brand/product line of GM, not an issuer name or listing identifier.",0.9
GM,NYSE,chevy,"Brand/product nickname for the Chevrolet division, not the issuer name General Motors Company.",0.9
GMD,ASX,gemadept,Gemadept is a Vietnamese logistics/shipping company; no connection to Genesis Minerals.,0.82
GMD,ASX,grupo mexicano de desarrollo,Grupo Mexicano de Desarrollo is a Mexican construction conglomerate; confirmed cross-company collision.,0.82
GML,ASX,gemfields,Gemfields Group is a separate gemstone mining company; cross-company collision confirmed.,0.82
GOLF,NYSE,golf & co,Yahoo alias verification marked `golf & co` as likely_other_entity.,
GRL,LSE,greenlight metals,Yahoo alias verification marked `greenlight metals` as likely_other_entity.,
GSC,NYSE ARCA,gs chain,Current GSC row is an ETF; gs chain is an unrelated alias contamination.,0.95
GT,NASDAQ,gt resources,GT Resources is a separate mining company. No relation to Goodyear Tire & Rubber Co.,0.85
H,NYSE,hydro one,Hydro One is a Canadian utility company unrelated to Hyatt Hotels; cross-company collision.,0.82
HBAN,NASDAQ,helvetia holding,Helvetia Holding is a Swiss insurance group; entirely unrelated to Huntington Bancshares.,0.83
ICON,NASDAQ,iconic labs,Yahoo alias verification marked `iconic labs` as likely_other_entity.,
ICON,NASDAQ,international iconic gold exploration,Yahoo alias verification marked `international iconic gold exploration` as likely_other_entity.,
ICON,NASDAQ,island concepts indonesia,Yahoo alias verification marked `island concepts indonesia` as likely_other_entity.,
IMC,LSE,ibero mining,Yahoo alias verification marked `ibero mining` as likely_other_entity.,
IMC,LSE,inmocemento,Yahoo alias verification marked `inmocemento` as likely_other_entity.,
IMI,LSE,ironman international,Yahoo alias verification marked `ironman international` as likely_other_entity.,
IPO,NYSE ARCA,inplay oil,Yahoo alias verification marked `inplay oil` as likely_other_entity.,
IPO,NYSE ARCA,intersport polska,Yahoo alias verification marked `intersport polska` as likely_other_entity.,
IREN,NASDAQ,investis holding,Investis is an unrelated Swiss/UK digital communications company; flagged cross-collision with no connection to IREN Ltd.,0.82
ITX,LSE,inditex,Yahoo alias verification marked `inditex` as likely_other_entity.,
ITX,LSE,industria de diseno textil,Yahoo alias verification marked `industria de diseno textil` as likely_other_entity.,
ITX,LSE,zara,Yahoo alias verification marked `zara` as likely_other_entity.,
IVT,NYSE,investnet,Likely confused with Envestnet (ENV); unrelated financial services firm with no connection to InvenTrust Properties.,0.83
IVT,NYSE,invicta,Invicta is a watch brand / unrelated company; cross-collision flag confirms no connection to InvenTrust.,0.83
KAL,ASX,kenya airways,Kenya Airways is a Kenyan airline (NSE:KQ); entirely unrelated to an Australian gold mining company.,0.82
KEL,TSX,k-electric,"K-Electric is a Pakistani power utility (formerly KESC), unrelated to Kelt Exploration Ltd.",0.8
KGH,LSE,kghm,"KGHM is the abbreviation for the unrelated Polish mining company, not Knights Group.",0.8
KGH,LSE,kghm polska miedz,KGHM Polska Miedź is a Polish copper miner on WSE (ticker KGH); entirely different company.,0.8
LAB,NASDAQ,labat africa,Yahoo alias verification marked `labat africa` as likely_other_entity.,
LAB,NASDAQ,labiana health,Yahoo alias verification marked `labiana health` as likely_other_entity.,
LAB,NASDAQ,labrador gold,Yahoo alias verification marked `labrador gold` as likely_other_entity.,
LC,NYSE,lepanto consolidated mining,Lepanto Consolidated Mining is a Philippine company. The Philippine ISIN in the entry likely originates from that collision; it does not belong to LendingClub.,0.82
LEAD,BATS,logindo samudramakmur,Yahoo alias verification marked `logindo samudramakmur` as likely_other_entity.,
LFST,NASDAQ,lifeist wellness,Lifeist Wellness is a separate Canadian cannabis/wellness company sharing the LFST ticker on CSE. The CA ISIN in this entry originates from that collision.,0.83
LIT,NYSE ARCA,argentina lithium & energy,Argentina Lithium & Energy Corp is a separate Canadian junior miner; not related to this US ETF.,0.82
LIT,NYSE ARCA,argentina lithium and energy,Duplicate of 'argentina lithium & energy'; same rationale.,0.82
LIT,NYSE ARCA,lease it public,No meaningful lexical or structural connection to Global X Lithium & Battery Tech ETF.,0.82
LIT,NYSE ARCA,litigation capital management,Litigation Capital Management trades as LIT on ASX; different security on a different exchange.,0.82
LIT,NYSE ARCA,livium,"Livium (formerly Lithium Australia) is an ASX-listed company; ticker collision, not the same issuer.",0.82
LKY,TSXV,locksley resources,Yahoo alias verification marked `locksley resources` as likely_other_entity.,
LKYLY,OTC,locksley resources,Yahoo alias verification marked `locksley resources` as likely_other_entity.,
LOVE,NASDAQ,cannara biotech,Cannara Biotech is a Canadian cannabis company (ticker LOVE on CSE) with no connection to The Lovesac Company.,0.93
LYYB,XETRA,liberty all-star equity,Yahoo alias verification marked `liberty all-star equity` as likely_other_entity.,
MAC,NYSE,macroasia,MacroAsia Corporation is a Philippine airline services company; unrelated to Macerich.,0.82
MAC,NYSE,marechale capital,Marechale Capital is a separate UK financial firm; unrelated.,0.82
MAC,NYSE,mega african capital,No connection to Macerich; appears to be a different issuer with a MAC ticker on another exchange.,0.82
MAN,NYSE,josef manner & comp,"Josef Manner & Comp AG is an Austrian confectionery company; the AT ISIN in this entry (AT0000728209) belongs to them, not ManpowerGroup.",0.85
MAN,NYSE,mandrake resources,Mandrake Resources is a separate mining company; unrelated to ManpowerGroup.,0.85
MAN,NYSE,manydev studio,No connection to ManpowerGroup; appears to be a small tech company sharing a similar ticker.,0.85
MARA,NASDAQ,bitcoin mining,"Generic industry descriptor shared by many companies (BTBT, CAN, CLSK, RIOT, WULF); not a lexical identifier for Marathon Digital specifically",0.9
MARI,VSE,mari energies,Unrelated energy company; weak overlap is coincidental prefix similarity only.,0.85
MARI,VSE,marimaca copper,Marimaca Copper is an unrelated mining company; cross-collision confirmed. No connection to Marinomed Biotech.,0.85
MAT,NASDAQ,barbie,"Barbie is a Mattel product brand, not a company or listing identifier. Per review rules, obvious product names should be removed.",0.88
MAT,NASDAQ,hot wheels,"Hot Wheels is a Mattel product brand, not a company or listing identifier. Per review rules, obvious product names should be removed.",0.88
MAT,NASDAQ,matsa resources,Matsa Resources is an Australian mining company; unrelated to Mattel Inc.,0.88
MCB,NYSE,mcb bank,Cross-company collision; MCB Bank is a distinct Pakistani bank unrelated to Metropolitan Bank Holding.,0.85
MCB,NYSE,mcbride,Cross-company collision; McBride is a UK consumer goods company unrelated to this US bank.,0.85
MCB,NYSE,mccoy global,Unrelated Canadian oilfield services company; no overlap with Metropolitan Bank Holding.,0.85
MCB,NYSE,mwalimu commercial bank,Unrelated Tanzanian bank; no overlap with Metropolitan Bank Holding.,0.85
MCI,NYSE,mci management,Weak lexical overlap with Barings Corporate Investors; likely refers to a different company.,0.82
MCI,NYSE,minnova,Cross-company collision flagged; no connection to Barings Corporate Investors.,0.82
MCS,NYSE,m.c.s. steel public,Refers to a Thai steel company; no connection to Marcus Corporation.,0.82
